station,date,18,21,00,03,06,09,12,15,source,region_id
Талдыкорган,2021-05-01,17.2,14.5,11.4,9.7,9.9,13.5,14.3,11.3,Температура воздуха,1
Талдыкорган,2021-05-02,9.8,9.2,10.7,14.0,17.4,20.0,20,13.6,Температура воздуха,1
Талдыкорган,2021-05-03,10.3,9.5,5.5,12.2,21.6,25.6,23.8,16.8,Температура воздуха,1
Талдыкорган,2021-05-04,11.4,7.1,6.8,18.0,22.8,27.0,25.8,20,Температура воздуха,1
Талдыкорган,2021-05-05,9.6,6.3,5.7,18.0,25.4,29.0,30,17.4,Температура воздуха,1
Талдыкорган,2021-05-06,15.6,11.6,11.4,25.2,29.2,30.6,29.6,24.2,Температура воздуха,1
Талдыкорган,2021-05-07,21.8,20.7,18.4,19.4,23.4,24.0,20.9,17.8,Температура воздуха,1
Талдыкорган,2021-05-08,17.2,16.2,12.8,20.2,23.2,25.8,25.1,19.6,Температура воздуха,1
Талдыкорган,2021-05-09,13.2,10.5,7.7,21.0,25.8,28.4,26.8,19.2,Температура воздуха,1
Талдыкорган,2021-05-10,19.8,15.6,15.1,17.3,21.4,22.6,23.4,18.6,Температура воздуха,1
Талдыкорган,2021-05-11,14.9,13.2,12.1,19.7,22.8,23.8,22.3,17,Температура воздуха,1
Талдыкорган,2021-05-12,17,15.6,10.9,17.0,18.0,19.0,18.6,12.3,Температура воздуха,1
Талдыкорган,2021-05-13,5.9,3,3.1,14.4,19.6,20.2,20.6,13.6,Температура воздуха,1
Талдыкорган,2021-05-14,13.4,14,13.4,15.9,15.2,12.4,16.5,12.7,Температура воздуха,1
Талдыкорган,2021-05-15,7.3,6.6,7.2,12.7,17.3,14.5,18,14.9,Температура воздуха,1
Талдыкорган,2021-05-16,12.3,8,7.5,16.6,20.4,21.4,21.8,16.4,Температура воздуха,1
Талдыкорган,2021-05-17,12.2,9.4,10.4,18.4,23.2,25.8,26.2,17.8,Температура воздуха,1
Талдыкорган,2021-05-18,14.9,11.3,9.7,20.1,27.0,28.0,28,20,Температура воздуха,1
Талдыкорган,2021-05-19,17.2,14.1,11.4,23.4,28.2,29.2,29.2,20.6,Температура воздуха,1
Талдыкорган,2021-05-20,19.8,16,14.6,13.3,17.8,18.9,18.9,14,Температура воздуха,1
Талдыкорган,2021-05-21,10.9,7.5,7,14.8,18.4,19.6,19.9,15.5,Температура воздуха,1
Талдыкорган,2021-05-22,9.9,6.7,7.1,20.0,22.6,25.2,24.4,20.6,Температура воздуха,1
Талдыкорган,2021-05-23,13.8,9.6,8.6,23.0,27.0,29.2,28.2,22.7,Температура воздуха,1
Талдыкорган,2021-05-24,14.2,9.7,8.8,21.0,26.9,31.0,30.6,25,Температура воздуха,1
Талдыкорган,2021-05-25,22.2,13.5,10.1,24.8,30.6,32.4,31,25.2,Температура воздуха,1
Талдыкорган,2021-05-26,17.4,14.2,13,25.6,31.6,33.6,32.3,23.6,Температура воздуха,1
Талдыкорган,2021-05-27,17.6,14.4,14.7,26.0,30.3,33.0,29.4,23,Температура воздуха,1
Талдыкорган,2021-05-28,21.2,22.4,21.4,23.8,29.0,31.0,31.2,23.4,Температура воздуха,1
Талдыкорган,2021-05-29,22.6,19.6,16,19.6,23.2,23.0,26.4,20.8,Температура воздуха,1
Талдыкорган,2021-05-30,14.5,13,11.9,21.4,29.6,29.8,28.7,22.6,Температура воздуха,1
Талдыкорган,2021-05-31,16.4,11,9.8,22.8,29.0,30.6,31,21.6,Температура воздуха,1
Талдыкорган,2021-06-01,17.7,12.6,10.7,24.4,31.4,33.4,33,23,Температура воздуха,1
Талдыкорган,2021-06-02,19.8,15.2,13,26.5,34.0,35.7,35.6,26.2,Температура воздуха,1
Талдыкорган,2021-06-03,20.8,20.8,21.1,27.2,29.6,31.0,31.4,23.4,Температура воздуха,1
Талдыкорган,2021-06-04,23.4,23,22.6,23.0,30.4,30.8,31,26.4,Температура воздуха,1
Талдыкорган,2021-06-05,25.6,24.5,19,17.0,18.4,18.8,19.6,16.5,Температура воздуха,1
Талдыкорган,2021-06-06,13.4,11.4,13.8,13.7,20.1,24.0,24.6,18.3,Температура воздуха,1
Талдыкорган,2021-06-07,11.9,9.9,10.2,20.0,27.8,31.1,31,24.4,Температура воздуха,1
Талдыкорган,2021-06-08,18.4,17.8,20.6,28.2,29.4,32.0,32.2,26.6,Температура воздуха,1
Талдыкорган,2021-06-09,23.2,21,20,25.2,29.4,31.8,22.4,22.6,Температура воздуха,1
Талдыкорган,2021-06-10,22.2,21,21.4,25.8,28.6,25.6,27.4,24,Температура воздуха,1
Талдыкорган,2021-06-11,19.6,20.4,17,17.4,22.4,25.1,20.6,19.1,Температура воздуха,1
Талдыкорган,2021-06-12,14,10.5,10.5,19.6,22.9,24.4,23.6,18.4,Температура воздуха,1
Талдыкорган,2021-06-13,13.4,14.6,11,20.0,20.8,21.4,21,17,Температура воздуха,1
Талдыкорган,2021-06-14,10.9,9.5,5.4,19.6,22.6,24.0,24,20.4,Температура воздуха,1
Талдыкорган,2021-06-15,17.2,9.4,8.1,21.8,27.0,27.4,27.6,24.1,Температура воздуха,1
Талдыкорган,2021-06-16,14.9,11.9,12.5,23.4,28.7,30.4,30.6,23.6,Температура воздуха,1
Талдыкорган,2021-06-17,16.7,13.7,13.8,22.2,30.4,31.0,30.2,24.6,Температура воздуха,1
Талдыкорган,2021-06-18,17,14.4,17,21.6,28.2,28.4,27,23.8,Температура воздуха,1
Талдыкорган,2021-06-19,25,21.4,20.4,26.4,31.2,32.0,30,26.8,Температура воздуха,1
Талдыкорган,2021-06-20,21.6,15.2,13,13.6,16.7,20.0,20.4,15.4,Температура воздуха,1
Талдыкорган,2021-06-21,11,9.6,7,19.0,23.8,27.6,28.8,22.6,Температура воздуха,1
Талдыкорган,2021-06-22,19.4,16.5,14.1,18.2,19.6,21.2,20.6,18.2,Температура воздуха,1
Талдыкорган,2021-06-23,15.2,12,9.4,18.9,22.0,23.6,24.4,21.2,Температура воздуха,1
Талдыкорган,2021-06-24,18.8,19.6,20.2,25.4,26.4,24.2,22.7,13.6,Температура воздуха,1
Талдыкорган,2021-06-25,14.2,12.8,10,15.4,19.4,20.8,21,17.4,Температура воздуха,1
Талдыкорган,2021-06-26,11.9,10.4,10.1,20.0,22.0,25.2,26,22.2,Температура воздуха,1
Талдыкорган,2021-06-27,17.4,12,9.4,20.0,23.1,25.9,26.8,23.7,Температура воздуха,1
Талдыкорган,2021-06-28,12.9,10.5,9.9,22.2,29.8,31.2,30.2,24.6,Температура воздуха,1
Талдыкорган,2021-06-29,16.6,12.4,11,25.2,32.0,33.6,33,27,Температура воздуха,1
Талдыкорган,2021-06-30,21,17,13.8,26.0,33.2,33.0,32.6,27.6,Температура воздуха,1
Талдыкорган,2021-07-01,21.2,18.2,12.6,25.7,30.5,33.2,33.6,28.8,Температура воздуха,1
